,City,Walk Score,Transit Score,Bike Score,Baseball Fields and Diamonds,Tennis and Pickleball Courts,Volleyball,Basketball Hoops,Disc Golf Courses,Skateparks,Outdoor Exercise Zones,Community Gardens,Dog Parks,Playgrounds,Splashpads,Swimming Pools,Rec Centers,Senior Centers,Park Units,Parks as City Area,Improved Trails,Nature Trails,Walkable Park Access
50,"Cincinnati, OH",49.1,44.1,35.6,4.103655780223585,4.937210860581501,1.4522998746069238,8.624089100626128,0.09617943234899028,0.03205981078299676,0.35265791861296436,0.2885382970469708,0.19235886469798055,5.277773924950161,0.4488373509619546,0.523287883858715,0.0,0.7053158372259287,8.028037023310148,0.1655081037776545,2.6898181246934283,1.9845022874674993,0.878569809977016
23,"Phoenix, AZ",41.4,35.6,55.9,1.3174294704722773,1.499562576989182,0.6799635976631109,2.7562810119558243,0.024284414202253957,0.048568828404507915,0.8059239496150893,0.03642662130338094,0.07285324260676188,0.9835187751912854,0.06678213905619838,0.1760620029663412,0.06678213905619838,0.19427531361803166,1.4206382308318566,0.1553321439336047,1.28707395271946,1.4692070592363644,0.4926602976299835
79,"St. Paul, MN",60.4,46.4,64.0,5.844708101075447,5.558643690939411,1.1117287381878822,12.047771851745752,0.06352735646787898,0.19058206940363692,0.06352735646787898,0.7506394153497532,0.22234574763757642,3.970459779242436,0.12705471293575796,0.12705471293575796,0.1764292015986467,0.8258556340824267,6.0668625426824425,0.1537806914465953,4.224569205113952,0.0,0.9933060747292408
78,"Minneapolis, MN",71.4,55.0,83.5,5.0782922363614835,4.987201792659932,1.0930853244186154,8.949636093677412,0.06831783277616346,0.15940827647771472,0.045545221850775634,0.5920878840600833,0.15940827647771472,3.894116468241317,0.43267960758236856,0.09109044370155127,0.0,0.9794526851678511,3.9396616900920924,0.1495596854475304,4.326796075823686,1.1386305462693909,0.983305281042953
7,"Oakland, CA",75.3,56.6,65.5,1.880671399689689,1.119447261720053,0.0,2.149338742502502,0.02238894523440106,0.08955578093760425,0.08955578093760425,0.2910562880472138,0.4030010142192191,2.7986181543001325,0.02238894523440106,0.13433367140640637,0.02238894523440106,0.5373346856256255,3.694175963676175,0.1475989335250591,1.0164581136418083,0.3403119675628961,0.8860232050977775
9,"Anaheim, CA",55.7,33.9,52.3,2.6009831716388794,2.196385789383943,0.43349719527314656,1.5027902769469081,0.028899813018209774,0.21992310938942922,0.2311985041456782,0.1155992520728391,0.1155992520728391,1.7339887810925863,0.05779962603641955,0.028899813018209774,0.0,0.14449906509104887,2.022986911274684,0.1424664346096469,0.49129682130956615,0.0,0.672023978783535
94,"Pittsburgh, PA",62.4,55.2,54.9,3.3737528578634643,3.242733329402747,0.16377441057589634,7.402603358030514,0.06550976423035854,0.0982646463455378,0.8059239496150893,0.22928417480625485,0.22928417480625485,3.930585853821512,0.8389502327430753,0.523287883858715,0.16377441057589634,0.9171366992250194,5.3062909026590415,0.1407235595281871,1.3101952846071707,2.6472571590652096,0.9199744463373082
75,"Madison, WI",49.7,34.9,65.5,5.844708101075447,6.422607578676943,1.1907081466086467,9.597829302966668,0.07216413009749374,0.07216413009749374,0.03608206504874687,0.4329847805849624,0.39690271553621553,5.277773924950161,0.1082461951462406,0.03608206504874687,0.0,0.14432826019498748,8.028037023310148,0.1394795408402311,2.2731700980710525,0.8659695611699249,0.9540207454553642
35,"St. Petersburg, FL",43.0,33.5,58.5,3.077870113881194,6.078793474915359,1.3465681748230225,4.539858417974761,0.07694675284702986,0.11542012927054478,0.4232071406586642,0.07694675284702986,0.23084025854108955,3.5010772545398585,0.1538935056940597,0.3462603878116343,0.0,0.6155740227762388,8.002462296091105,0.1355620400913473,0.0,0.3154816866728224,0.770636447591196
2,"San Jose, CA",50.5,40.1,61.5,1.246412882609498,1.5212125732635604,0.18647121865811386,1.5408411225959935,0.009814274666216519,0.06869992266351563,0.4121995359810938,0.21591404265676342,0.1472141199932478,2.8853967518676567,0.019628549332433038,0.05888564799729912,0.09814274666216519,0.4612709093121764,2.1983975252325,0.1350966573766708,0.7419591647659688,0.37196100984960606,0.8024739322612362
0,"Los Angeles, CA",68.6,52.9,58.7,0.0,1.0349293788784235,0.005123412766724868,2.8691111493659265,0.010246825533449737,0.07941289788423546,0.3407069489872038,0.051234127667248684,0.03842559575043651,1.127150808679471,0.04354900851716138,0.1639492085351958,0.0,0.4073113149546271,1.4499258129831378,0.1336343402118525,0.08453631065096033,0.08453631065096033,0.6356915588574357
93,"Philadelphia, PA",74.8,67.0,66.7,4.249332027240195,1.9084935994436338,0.0,4.73108769311917,0.006176354690756097,0.030881773453780483,0.1667615766504146,0.11117438443360975,0.05558719221680487,1.5996758649058291,0.6485172425293901,0.444697537734439,0.1764292015986467,0.9794526851678511,2.612598034189829,0.1297761857826285,0.541048670910234,0.9795698539539169,0.9520632258423872
71,"Raleigh, NC",31.3,29.4,39.3,1.6640111821551442,3.86882599851071,0.6656044728620576,5.137634524904008,0.062400419330817906,0.0208001397769393,0.0832005591077572,0.0208001397769393,0.1664011182155144,2.4336163539018982,0.12480083866163581,0.1664011182155144,0.0208001397769393,0.7696051717467541,3.4736233427488634,0.1242447845399238,2.714418240890579,2.2152148862440355,0.4776294496699018
52,"Houston, TX",47.5,36.2,48.6,1.719095543510096,1.014478604688674,0.12309573027603156,3.2132230282398586,0.02122340177172958,0.03395744283476733,0.3183510265759437,0.05942552496084282,0.11885104992168564,2.1011167754012283,0.15280849275645297,0.16554253381949072,0.004244680354345916,0.33108506763898143,2.82695711599438,0.1235845909000483,0.6195110977167864,0.2502239068886918,0.610272984074901
18,"Seattle, WA",74.4,59.6,71.1,1.9181451273858572,6.082884890271588,0.0,2.942907592701589,0.013137980324560665,0.1445177835701673,0.23648364584209197,0.40727739006138064,0.19706970486841,2.2991465567981164,0.13137980324560666,0.13137980324560666,0.0,0.315311527789456,6.582128142604893,0.1227040333270214,0.043355335071050195,1.5108677373244765,0.9852596495566188
68,"Colorado Springs, CO",36.1,18.8,44.7,5.025115486840858,2.4621047766850785,0.1816306802472599,2.8859096972620186,0.06054356008241997,0.2018118669413999,0.06054356008241997,0.1816306802472599,0.1614494935531199,2.7648225770971786,0.10090593347069995,0.10090593347069995,0.0,0.14126830685897993,4.9847531134525775,0.1213387061034559,3.1684463109799785,2.4822859633792187,0.7824618740936086
77,"Jersey City, NJ",86.6,70.5,63.9,0.0,0.8873960185498634,0.0328665192055505,2.464988940416287,0.0,0.065733038411101,0.39439823046660594,0.0,0.19719911523330297,1.1503281721942673,0.36153171126105543,0.09859955761665148,0.0,0.42726474967215644,2.497855459621838,0.118134546636334,0.42726474967215644,0.0,0.979973904988928
95,"Omaha, NE",48.2,24.0,41.7,4.782525696028293,6.493255685508102,0.38179826985099824,6.77189562840981,0.08037858312652595,0.08037858312652595,0.060283937344894456,0.08037858312652595,0.08037858312652595,3.9184559274181394,0.24113574937957782,0.36170362406936674,0.060283937344894456,0.34160897828773523,5.204513257442555,0.1162837792228247,5.553834774265457,0.5626500818856816,0.8166115473179189
